efibootmgr 16-1
efivar 35-1
electron 2.0.12-1
enchant 2.2.3-2
eog 3.28.4-1
evince 3.30.2-1
evolution 3.30.2-1
evolution-data-server 3.30.2-2
exempi 2.4.5-1
exfat-utils 1.3.0-1
exiv2 0.26-2
expat 2.2.6-1
f2fs-tools 1.12.0-2
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.23-1
ffmpeg 1:4.1-1
ffmpegthumbnailer 2.2.0-2
fftw 3.3.8-1
file 5.35-1
file-roller 3.30.1-1
filesystem 2018.8-1
findutils 4.6.0-4
firefox 63.0.3-1
flac 1.3.2-2
flex 2.6.4-2
folks 0.11.4+42+g5520ed9a-1
fontconfig 2:2.13.1+12+g5f5ec56-1
foomatic-db-engine 4:4.0.13-1
freetype2 2.9.1-1
fribidi 1.0.5-1
fuse-common 3.2.6-1
fuse2 2.9.8-1
gamin 0.1.10-9
gawk 4.2.1-1
gc 7.6.8-1
gcab 1.0+2+gc0947f6-1
gcc 8.2.1+20180831-1
gcc-libs 8.2.1+20180831-1
gconf 3.2.6+11+g07808097-4
gcr 3.28.0-4
gd 2.2.5-1
gdbm 1.18.1-1
gdk-pixbuf2 2.38.0-1
gedit 3.30.2-1
gegl 0.4.12-1
geoclue2 2.5.1-1
geocode-glib 3.26.0-1
geoip 1.6.12-1
geoip-database 20180403-1
gettext 0.19.8.1-3
gfbgraph 0.2.3+10+gbc03c1f-2
ghex 3.18.3-2
ghostscript 9.26-1
giflib 5.1.4-2
git 2.19.2-1
gjs 2:1.54.3-1
glib-networking 2.58.0-1
glib2 2.58.1+67+g17519e039-1
glibc 2.28-5
glibmm 2.56.0-1
glslang 7.9.2888-2
glu 9.0.0-5
gmime3 3.2.3-1
gmp 6.1.2-2
gnome-autoar 0.2.3-1
gnome-backgrounds 3.30.0-1
gnome-bluetooth 3.28.2-1
gnome-calculator 3.30.1-1
gnome-calendar 3.30.1-1
gnome-color-manager 3.30.0-1
gnome-contacts 3.30.1-1
gnome-control-center 3.30.2-1
gnome-desktop 1:3.30.2-1
gnome-disk-utility 3.30.2-1
gnome-documents 3.30.0-2
gnome-epub-thumbnailer 1.5-1
gnome-font-viewer 3.30.0-1
gnome-keyring 1:3.28.2-1
gnome-logs 3.30.0-1
gnome-maps 3.30.2.1-1
gnome-music 1:3.30.2-1
gnome-online-accounts 3.30.0-1
gnome-online-miners 3.30.0-1
gnome-photos 3.30.1-1
gnome-screenshot 3.30.0-1
gnome-session 3.30.1-1
gnome-settings-daemon 3.30.1.2-1
gnome-shell 1:3.30.2-1
gnome-shell-extension-dash-to-dock 1:64-1
gnome-shell-extension-status-menu-buttons 0.3-2
gnome-shell-extensions 3.30.1-1
gnome-sound-recorder 3.28.1-2
gnome-system-monitor 3.30.0-1
gnome-terminal 3.30.2-1
gnome-themes-extra 3.28-1
gnome-tweaks 3.30.1-1
gnome-weather 3.26.0-1
gnupg 2.2.11-1
gnutls 3.5.19-2
gobject-introspection-runtime 1.58.1-1
gom 0.3.3-2
google-chrome 70.0.3538.110-1
gpgme 1.12.0-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
graphene 1.8.2-1
graphite 1:1.3.12-1
grep 3.1-2
grilo 0.3.6-1
grilo-plugins 0.3.8-1
groff 1.22.3-8
grub 2:2.02-8
grub2-theme-antergos 0.1-1
gsettings-desktop-schemas 3.28.1-1
gsfonts 20180524-1
gsm 1.0.18-1
gspell 1.8.1-1
gssdp 1.0.2-2
gssproxy 0.8.0-1
gst-libav 1.14.4-1
gst-plugins-bad 1.14.4-4
gst-plugins-base 1.14.4-1
gst-plugins-base-libs 1.14.4-1
gst-plugins-good 1.14.4-1
gst-plugins-ugly 1.14.4-1
gstreamer 1.14.4-1
gstreamer-vaapi 1.14.4-1
gtk-engine-murrine 0.98.2-3
gtk-theme-solarc-git 707.800c997-1
gtk-update-icon-cache 3.24.1+8+g220f77d8c1-1
gtk2 2.24.32-1
gtk3 3.24.1+8+g220f77d8c1-1
gtkmm3 3.24.0-1
gtksourceview3 3.24.9-2
gtkspell3 3.0.9-3
guile 2.2.4-1
gupnp 1.0.3-1
gupnp-av 0.12.11-1
gupnp-dlna 0.10.5-3
gvfs 1.38.1-1
gvfs-goa 1.38.1-1
gvfs-google 1.38.1-1
gvfs-gphoto2 1.38.1-1
gvfs-mtp 1.38.1-1
gvfs-smb 1.38.1-1
gzip 1.9-2
harfbuzz 2.1.3-1
harfbuzz-icu 2.1.3-1
haveged 1.9.4-3
hdparm 9.58-1
hicolor-icon-theme 0.17-1
hplip 1:3.18.6-2
hspell 1.4-1
htop 2.2.0-2
http-parser 2.8.1-1
hunspell 1.7.0-1
hunspell-en_US 2018.04.16-5
hwids 20180917-1
hyphen 2.8.8-2
i3-gnome 1:3.30.0-1
i3-wm 4.16-1
i3status 2.12-1
iana-etc 20180913-1
icu 63.1-2
ijs 0.35-2
ilmbase 2.3.0-1
imagemagick 7.0.8.14-1
imlib2 1.5.1-1
inetutils 1.9.4-6
intel-tbb 2019-1
intel-ucode 20180807.a-1
iproute2 4.19.0-1
iptables 1:1.8.2-1
iputils 20180629.f6aac8d-2
ipw2100-fw 1.3-9
ipw2200-fw 3.1-7
iso-codes 4.1-1
iw 4.14-1
